price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒
title:女王徽章西拉赤霞珠干红葡萄酒187.5ml（DeAguirre酒庄）|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞女王徽章西拉赤霞珠干红葡萄酒187.5ml（DeAguirre酒庄）|price:29.0
title:罗恩城堡超级波尔多干红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞罗恩城堡超级波尔多干红葡萄酒|price:69.0
title:美景湾珍藏佳美娜红葡萄酒|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾珍藏佳美娜红葡萄酒|price:85.0
title:法国波尔多浓情玫瑰红葡萄酒-6支装|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞法国波尔多浓情玫瑰红葡萄酒-6支装|price:359.0
title:贝尔莱丹魄干红葡萄酒（里奥哈）2013|sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱丹魄干红葡萄酒（里奥哈）2013|price:109.0
title:乐邦帝国干红葡萄酒|sezhe:酒精度13.50%|crumb:选酒中心＞红葡萄酒＞干红＞乐邦帝国干红葡萄酒|price:59.0
title:恋爱季甜白高泡葡萄酒（又名：恋爱季低醇甜白高泡葡萄酒）|sezhe:酒精度9.5%vol|crumb:选酒中心＞起泡酒＞甜起泡酒＞恋爱季甜白高泡葡萄酒（又名：恋爱季低醇甜白高泡葡萄酒）|price:65.0
title:博纳瓦尔起泡葡萄酒375ML|sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞绝干型起泡酒＞博纳瓦尔起泡葡萄酒375ML|price:也买价:258.0
title:洛神山庄赤霞珠红葡萄酒（奔富酒厂出品）（又名：奔富洛神山庄赤霞珠干红葡萄酒）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄赤霞珠红葡萄酒（奔富酒厂出品）（又名：奔富洛神山庄赤霞珠干红葡萄酒）|price:59.0
title:木桐嘉棣红葡萄酒（又名：木桐嘉隶红葡萄酒）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞木桐嘉棣红葡萄酒（又名：木桐嘉隶红葡萄酒）|price:89.0
title:拉菲传说干红葡萄酒-6支装|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞拉菲传说干红葡萄酒-6支装|price:359.0
title:贝马格雷克莱蒙教皇五世干红葡萄酒-小黑教皇堡|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞贝马格雷克莱蒙教皇五世干红葡萄酒-小黑教皇堡|price:99.0
title:爱之湾桃红莫斯卡托甜起泡酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞爱之湾桃红莫斯卡托甜起泡酒|price:49.0
title:薄若莱新酒村庄乔治杜博夫恋恋假日干红葡萄酒2016|sezhe:|crumb:选酒中心＞其他＞薄若莱新酒村庄乔治杜博夫恋恋假日干红葡萄酒2016|price:189.0
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞莫拉德干红葡萄酒（FSA）|price:39.0|title:莫拉德干红葡萄酒（FSA）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄西拉赤霞珠干红葡萄酒(又名：洛神山庄设拉子赤霞珠红葡萄酒)|price:55.0|title:洛神山庄西拉赤霞珠干红葡萄酒(又名：洛神山庄设拉子赤霞珠红葡萄酒)
sezhe:酒精度8.0%|crumb:选酒中心＞其他＞意大利之花甜起泡酒2支装（甜+桃红）|price:118.0|title:意大利之花甜起泡酒2支装（甜+桃红）
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱珍藏干红葡萄酒（里奥哈）（2011）|price:138.0|title:贝尔莱珍藏干红葡萄酒（里奥哈）（2011）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典赤霞珠|price:79.0|title:蒙特斯经典赤霞珠
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝公牛血金标干红葡萄酒（新标）|price:108.0|title:桃乐丝公牛血金标干红葡萄酒（新标）
sezhe:|crumb:选酒中心＞白葡萄酒＞干白＞驹伯长相思干白葡萄酒|price:66.0|title:驹伯长相思干白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿梅洛干红葡萄酒（黑标）|price:59.0|title:康纳斯顿梅洛干红葡萄酒（黑标）
sezhe:酒精度8%vol|crumb:选酒中心＞起泡酒＞甜起泡酒＞恋爱季甜桃红高泡葡萄酒（又名：恋爱季低醇桃红高泡葡萄酒）|price:65.0|title:恋爱季甜桃红高泡葡萄酒（又名：恋爱季低醇桃红高泡葡萄酒）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露红魔鬼卡本妮苏维翁红葡萄酒（又名：红魔鬼赤霞珠红葡萄酒）|price:69.0|title:干露红魔鬼卡本妮苏维翁红葡萄酒（又名：红魔鬼赤霞珠红葡萄酒）
sezhe:|crumb:选酒中心＞其他＞59元幸运福袋|price:19.0|title:59元幸运福袋
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠西拉红葡萄酒（又名：黄尾袋鼠西拉子红葡萄酒）|price:59.0|title:黄尾袋鼠西拉红葡萄酒（又名：黄尾袋鼠西拉子红葡萄酒）
sezhe:酒精度11.0%|crumb:选酒中心＞红葡萄酒＞干红＞【我爱红酒】缘结今生干红葡萄酒|price:也买价:138.0|title:【我爱红酒】缘结今生干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞火地岛经典赤霞珠干红葡萄酒|price:49.0|title:火地岛经典赤霞珠干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞修士庄园干红葡萄酒|price:88.0|title:修士庄园干红葡萄酒
sezhe:酒精度12-13.5%(不同年份不同批次，度数不同)|crumb:选酒中心＞红葡萄酒＞干红＞拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)|price:69.0|title:拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞克拉希湾干红葡萄酒|price:55.0|title:克拉希湾干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞拉昂城堡干红葡萄酒|price:48.0|title:拉昂城堡干红葡萄酒
sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒|price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞蒙佩奇古堡干红葡萄酒2012（又名霹雳山庄干红葡萄酒）|price:199.0|title:蒙佩奇古堡干红葡萄酒2012（又名霹雳山庄干红葡萄酒）
sezhe:酒精度8.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）750ml（促销活动）|price:89.0|title:冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）750ml（促销活动）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞柏图斯庄主的私家珍藏-波尔多侯爵干红葡萄酒|price:139.0|title:柏图斯庄主的私家珍藏-波尔多侯爵干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞波尔多珍藏红葡萄酒（又名：珍藏波尔多法定产区红葡萄酒）（拉菲罗斯柴尔德集团荣誉出品）|price:89.0|title:波尔多珍藏红葡萄酒（又名：珍藏波尔多法定产区红葡萄酒）（拉菲罗斯柴尔德集团荣誉出品）
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞莎普蒂尔比拉干红葡萄酒|price:89.0|title:莎普蒂尔比拉干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞黄尾袋鼠西拉红葡萄酒-6支装|price:259.0|title:黄尾袋鼠西拉红葡萄酒-6支装
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典马尔贝(又名蒙特斯经典玛儿贝或蒙特斯马尔贝克干红葡萄酒）|price:99.0|title:蒙特斯经典马尔贝(又名蒙特斯经典玛儿贝或蒙特斯马尔贝克干红葡萄酒）
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞洛加干红葡萄酒|price:69.0|title:洛加干红葡萄酒
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞赵薇斯奈哈克城堡干红葡萄酒2010|price:168.0|title:赵薇斯奈哈克城堡干红葡萄酒2010
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞玛丽亚海之情干红葡萄酒|price:35.0|title:玛丽亚海之情干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞白葡萄酒＞半干白＞佳美妃霞多丽-大芒森白葡萄酒|price:68.0|title:佳美妃霞多丽-大芒森白葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞拉菲传说波尔多红葡萄酒(又名：传说波尔多红葡萄酒)|price:69.0|title:拉菲传说波尔多红葡萄酒(又名：传说波尔多红葡萄酒)
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞火地岛经典赤霞珠干红葡萄酒-6支装|price:219.0|title:火地岛经典赤霞珠干红葡萄酒-6支装
sezhe:酒精度12.0%|crumb:选酒中心＞其他＞欧娜干红葡萄酒（FSA)整箱12支加两支拉伸红酒杯|price:249.0|title:欧娜干红葡萄酒（FSA)整箱12支加两支拉伸红酒杯
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞普莱萨斯庄园干红葡萄酒|price:也买价:298.0|title:普莱萨斯庄园干红葡萄酒
sezhe:酒精度12.00%|crumb:选酒中心＞红葡萄酒＞干红＞佳雅干红葡萄酒|price:35.0|title:佳雅干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞康纳斯顿梅洛干红葡萄酒（黑标）-6支装|price:269.0|title:康纳斯顿梅洛干红葡萄酒（黑标）-6支装
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞圣洛克奥利维尼姆干红葡萄酒(原奥利维珍藏干红)|price:88.0|title:圣洛克奥利维尼姆干红葡萄酒(原奥利维珍藏干红)
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞维莎梅洛干红葡萄酒|price:49.0|title:维莎梅洛干红葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾家族珍藏佳美娜赤霞珠红葡萄酒|price:138.0|title:美景湾家族珍藏佳美娜赤霞珠红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞欧娜干红葡萄酒（FSA）|price:39.0|title:欧娜干红葡萄酒（FSA）
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞永恒之约特酿干红葡萄酒|price:59.0|title:永恒之约特酿干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞法国波尔多浓情玫瑰红葡萄酒|price:88.0|title:法国波尔多浓情玫瑰红葡萄酒
sezhe:酒精度13.50%|crumb:选酒中心＞其他＞安德斯托卡伊半贵腐葡萄酒500ml-2支装（又名：安德斯伯爵托卡伊晚收白葡萄酒）|price:229.0|title:安德斯托卡伊半贵腐葡萄酒500ml-2支装（又名：安德斯伯爵托卡伊晚收白葡萄酒）
sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞干起泡酒＞黄尾袋鼠起泡葡萄酒|price:89.0|title:黄尾袋鼠起泡葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞波尔多侯爵干红葡萄酒1.5L（帕图斯神秘酒款）|price:399.0|title:波尔多侯爵干红葡萄酒1.5L（帕图斯神秘酒款）
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞福埃戈干红葡萄酒|price:119.0|title:福埃戈干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞佳美妃西拉-歌海娜红葡萄酒|price:59.0|title:佳美妃西拉-歌海娜红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞圣诞节圣乔威干红葡萄酒|price:69.0|title:圣诞节圣乔威干红葡萄酒
sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞艾美城堡干红葡萄酒|price:98.0|title:艾美城堡干红葡萄酒
sezhe:酒精度4.0%|crumb:选酒中心＞其他＞伴你时热带水果味配制酒|price:149.0|title:伴你时热带水果味配制酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞拉昂城堡珍藏超级波尔多-6支装|price:359.0|title:拉昂城堡珍藏超级波尔多-6支装
sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞黑猫雷司令甜白葡萄酒|price:120.0|title:黑猫雷司令甜白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露红魔鬼设拉子红葡萄酒|price:79.0|title:干露红魔鬼设拉子红葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞赵薇帕塔拉贝干红葡萄酒2010|price:258.0|title:赵薇帕塔拉贝干红葡萄酒2010
sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞蓝猫雷司令半甜白葡萄酒|price:89.0|title:蓝猫雷司令半甜白葡萄酒
sezhe:酒精度12.50%|crumb:选酒中心＞香槟＞干香槟＞伯瑞牌干型皇家香槟|price:299.0|title:伯瑞牌干型皇家香槟
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠加本力梅洛红葡萄酒（又名黄尾袋鼠红葡萄酒）蓝标|price:59.0|title:黄尾袋鼠加本力梅洛红葡萄酒（又名黄尾袋鼠红葡萄酒）蓝标
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞富贵金羊干红葡萄酒1.5L（FSA）|price:299.0|title:富贵金羊干红葡萄酒1.5L（FSA）
sezhe:|crumb:选酒中心＞其他＞39元幸运福袋|price:也买价:39.0|title:39元幸运福袋
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞巴托城堡干红葡萄酒|price:108.0|title:巴托城堡干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞卡布拉沃红葡萄酒|price:39.0|title:卡布拉沃红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞美娜城堡干红葡萄酒|price:也买价:188.0|title:美娜城堡干红葡萄酒
sezhe:酒精度11.50%|crumb:选酒中心＞白葡萄酒＞甜白＞安德斯伯爵托卡伊阿苏五萝葡萄酒（又名：安德斯托卡伊贵腐酒5P500ml）|price:309.0|title:安德斯伯爵托卡伊阿苏五萝葡萄酒（又名：安德斯托卡伊贵腐酒5P500ml）
sezhe:酒精度12.0%|crumb:选酒中心＞其他＞玛丽亚海之情干红葡萄酒12支装|price:198.0|title:玛丽亚海之情干红葡萄酒12支装
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞速度与基情(康纳斯顿+雪鹿山)|price:99.0|title:速度与基情(康纳斯顿+雪鹿山)
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞洛神山庄梅洛红葡萄酒-6支装（奔富酒厂出品）|price:299.0|title:洛神山庄梅洛红葡萄酒-6支装（奔富酒厂出品）
sezhe:酒精度12%|crumb:选酒中心＞白葡萄酒＞干白＞普莱萨斯庄园干白葡萄酒|price:188.0|title:普莱萨斯庄园干白葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞天使鱼珊瑚系列西拉红葡萄酒|price:99.0|title:天使鱼珊瑚系列西拉红葡萄酒
sezhe:|crumb:选酒中心＞其他＞索艾干红葡萄酒（FSA）【秒杀】|price:也买价:128.0|title:索艾干红葡萄酒（FSA）【秒杀】
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞劳伦米格尔工匠系列费叶合干红葡萄酒|price:199.0|title:劳伦米格尔工匠系列费叶合干红葡萄酒
sezhe:酒精度11.50%|crumb:选酒中心＞红葡萄酒＞半干红＞赤先锋半干红葡萄酒|price:129.0|title:赤先锋半干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典干红大礼包6支装（马尔贝+赤霞珠+梅洛）|price:459.0|title:蒙特斯经典干红大礼包6支装（马尔贝+赤霞珠+梅洛）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞99元大礼包|price:99.0|title:99元大礼包
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞莫拉德干红-6支装|price:159.0|title:莫拉德干红-6支装
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞8周年镇站之宝感恩礼包（配酒具3件套）|price:259.0|title:8周年镇站之宝感恩礼包（配酒具3件套）
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞澳洲大牌荟萃（黄尾袋鼠+洛神+小企鹅+天使鱼）|price:439.0|title:澳洲大牌荟萃（黄尾袋鼠+洛神+小企鹅+天使鱼）
sezhe:酒精度40.0%|crumb:选酒中心＞伏特加＞深蓝牌原味伏特加|price:68.0|title:深蓝牌原味伏特加
sezhe:酒精度13.0%|crumb:选酒中心＞白葡萄酒＞干白＞泥房子天鹅系列长相思干白葡萄酒|price:|title:泥房子天鹅系列长相思干白葡萄酒
sezhe:酒精度17%|crumb:选酒中心＞力娇酒＞百利甜酒|price:89.0|title:百利甜酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄西拉赤霞珠红葡萄酒(又名：洛神山庄设拉子赤霞珠红葡萄酒)-6支装（奔富酒厂出品）|price:279.0|title:洛神山庄西拉赤霞珠红葡萄酒(又名：洛神山庄设拉子赤霞珠红葡萄酒)-6支装（奔富酒厂出品）
sezhe:酒精度8.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞意大利之花桃红起泡葡萄酒甜型|price:88.0|title:意大利之花桃红起泡葡萄酒甜型
sezhe:酒精度8%|crumb:选酒中心＞起泡酒＞甜起泡酒＞意大利之花甜型起泡酒|price:88.0|title:意大利之花甜型起泡酒
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞家宴组合|price:也买价:966.0|title:家宴组合
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱火魂双层礼盒(珍藏+佳酿)|price:479.0|title:贝尔莱火魂双层礼盒(珍藏+佳酿)
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞贝尔莱珍藏干红葡萄酒【直播专享】|price:也买价:353.8|title:贝尔莱珍藏干红葡萄酒【直播专享】
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱珍藏干红葡萄酒-6支装|price:858.0|title:贝尔莱珍藏干红葡萄酒-6支装
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞贝尔莱珍藏干红葡萄酒-双支（本产品年份随机）|price:368.0|title:贝尔莱珍藏干红葡萄酒-双支（本产品年份随机）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞铁臂雷米奔牛赤霞珠梅洛干红葡萄酒|price:49.0|title:铁臂雷米奔牛赤霞珠梅洛干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞半甜红＞玛丽亚海之情半甜红葡萄酒|price:39.0|title:玛丽亚海之情半甜红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞海洋之心维亚干红葡萄酒（FSA）|price:38.0|title:海洋之心维亚干红葡萄酒（FSA）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝公牛血金标干红葡萄酒（新标）-6支装|price:479.0|title:桃乐丝公牛血金标干红葡萄酒（新标）-6支装
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾珍藏佳美娜红葡萄酒|price:85.0|title:美景湾珍藏佳美娜红葡萄酒
sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞爱之湾桃红莫斯卡托甜起泡酒|price:49.0|title:爱之湾桃红莫斯卡托甜起泡酒
sezhe:|crumb:选酒中心＞其他＞薄若莱新酒村庄乔治杜博夫恋恋假日干红葡萄酒2016|price:189.0|title:薄若莱新酒村庄乔治杜博夫恋恋假日干红葡萄酒2016
sezhe:酒精度0.125|crumb:选酒中心＞红葡萄酒＞干红＞夏普朗城堡干红葡萄酒|price:78.0|title:夏普朗城堡干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞格兰家族玉酿干红葡萄酒（佳酿等级）|price:58.0|title:格兰家族玉酿干红葡萄酒（佳酿等级）
